Module,Part,Question,comment,Program,Qn,section,module,C_N,Score,Description
One, Governance,Q3. Does the organization have a defined process and criteria for selecting and vetting board members? Describe the process,"UCMB: ""Bishops are chosen by their parliament (UEC). The collaborating members are proposed by UCMB through the health commission.""
UPMB: ""Yes there is a board charter and criteria that clearly spells out how they are selected.""
AIC: ""Their constitution stipulates how they select board members.""",UMMB,3,1,1,1_1_3,5,Criteria and process for selecting and vetting board members exists and there is always applied 
One, Governance,Q3. Does the organization have a defined process and criteria for selecting and vetting board members? Describe the process,"UCMB: ""Bishops are chosen by their parliament (UEC). The collaborating members are proposed by UCMB through the health commission.""
UPMB: ""Yes there is a board charter and criteria that clearly spells out how they are selected.""
AIC: ""Their constitution stipulates how they select board members.""",AIC,3,1,1,1_1_3,5,Criteria and process for selecting and vetting board members exists and there is always applied 
One, Governance,Q4. Does the board meet regularly with an agenda and meeting minutes?,"ROM: ""Meet quarterly, have minutes that we can review.""
UPMB: ""They minute all meetings. The sub-committees have their meetings before the main board meeting happens.""
AIC: ""The committees meet more frequently – they have been meeting for strategic planning and policy review.""",ROM,4,1,1,1_1_4,5,"Board meets regularly as per schedule, with a clear agenda relevant to board roles, and minutes"
One, Governance,Q4. Does the board meet regularly with an agenda and meeting minutes?,"ROM: ""Meet quarterly, have minutes that we can review.""
UPMB: ""They minute all meetings. The sub-committees have their meetings before the main board meeting happens.""
AIC: ""The committees meet more frequently – they have been meeting for strategic planning and policy review.""",UCMB,4,1,1,1_1_4,5,"Board meets regularly as per schedule, with a clear agenda relevant to board roles, and minutes"
One, Governance,Q4. Does the board meet regularly with an agenda and meeting minutes?,"ROM: ""Meet quarterly, have minutes that we can review.""
UPMB: ""They minute all meetings. The sub-committees have their meetings before the main board meeting happens.""
AIC: ""The committees meet more frequently – they have been meeting for strategic planning and policy review.""",UPMB,4,1,1,1_1_4,5,"Board meets regularly as per schedule, with a clear agenda relevant to board roles, and minutes"
One, Governance,Q4. Does the board meet regularly with an agenda and meeting minutes?,"ROM: ""Meet quarterly, have minutes that we can review.""
UPMB: ""They minute all meetings. The sub-committees have their meetings before the main board meeting happens.""
AIC: ""The committees meet more frequently – they have been meeting for strategic planning and policy review.""",UMMB,4,1,1,1_1_4,5,"Board meets regularly as per schedule, with a clear agenda relevant to board roles, and minutes"
One, Governance,Q4. Does the board meet regularly with an agenda and meeting minutes?,"ROM: ""Meet quarterly, have minutes that we can review.""
UPMB: ""They minute all meetings. The sub-committees have their meetings before the main board meeting happens.""
AIC: ""The committees meet more frequently – they have been meeting for strategic planning and policy review.""",AIC,4,1,1,1_1_4,5,"Board meets regularly as per schedule, with a clear agenda relevant to board roles, and minutes"
One, Governance,"Q5. Does the organization have a defined mission, vision, core values that are used to set strategic priorities? Are these reviewed regularly?","ROM: ""They review regularly to see if its relevant – eg for strategic plan development.""
UCMB: ""Health commission regularly reviews the mission. They have a new strategic plan with a new mission and vision.""
ROM: ""They communicate the vision in program meetings, in reports, in orientation for new staff.""",ROM,5,1,1,1_1_5,5,"The vision and/or mission is
-	A clear, specific and forceful understanding of what the organization aspires to become or to achieve
-	Well-communicated and broadly
-	held within the organization
-	Consistently used to direct actions
and to set priorities"
One, Governance,"Q5. Does the organization have a defined mission, vision, core values that are used to set strategic priorities? Are these reviewed regularly?","ROM: ""They review regularly to see if its relevant – eg for strategic plan development.""
UCMB: ""Health commission regularly reviews the mission. They have a new strategic plan with a new mission and vision.""
ROM: ""They communicate the vision in program meetings, in reports, in orientation for new staff.""",UCMB,5,1,1,1_1_5,5,"The vision and/or mission is
-	A clear, specific and forceful understanding of what the organization aspires to become or to achieve
-	Well-communicated and broadly
-	held within the organization
-	Consistently used to direct actions
and to set priorities"
One, Governance,"Q5. Does the organization have a defined mission, vision, core values that are used to set strategic priorities? Are these reviewed regularly?","ROM: ""They review regularly to see if its relevant – eg for strategic plan development.""
UCMB: ""Health commission regularly reviews the mission. They have a new strategic plan with a new mission and vision.""
ROM: ""They communicate the vision in program meetings, in reports, in orientation for new staff.""",UPMB,5,1,1,1_1_5,5,"The vision and/or mission is
-	A clear, specific and forceful understanding of what the organization aspires to become or to achieve
-	Well-communicated and broadly
-	held within the organization
-	Consistently used to direct actions
and to set priorities"
One, Governance,"Q5. Does the organization have a defined mission, vision, core values that are used to set strategic priorities? Are these reviewed regularly?","ROM: ""They review regularly to see if its relevant – eg for strategic plan development.""
UCMB: ""Health commission regularly reviews the mission. They have a new strategic plan with a new mission and vision.""
ROM: ""They communicate the vision in program meetings, in reports, in orientation for new staff.""",UMMB,5,1,1,1_1_5,5,"The vision and/or mission is
-	A clear, specific and forceful understanding of what the organization aspires to become or to achieve
-	Well-communicated and broadly
-	held within the organization
-	Consistently used to direct actions
and to set priorities"
One, Governance,"Q5. Does the organization have a defined mission, vision, core values that are used to set strategic priorities? Are these reviewed regularly?","ROM: ""They review regularly to see if its relevant – eg for strategic plan development.""
UCMB: ""Health commission regularly reviews the mission. They have a new strategic plan with a new mission and vision.""
ROM: ""They communicate the vision in program meetings, in reports, in orientation for new staff.""",AIC,5,1,1,1_1_5,4,"The vision and/or mission is
-	A clear, specific statement of what the organization aspires to become or achieve.
-	Well-known to most but not all staff.
Sometimes used to direct actions and to set priorities"
One, Governance,"Q6. Does the board perform the following key functions:
    1. Compliance, legal and ethical integrity
    2. Financial oversight and accountability
Adequate resources to drive strategy","UPMB: ""Yes - they provide a lot of compliance and financial oversight.""
UPMB: ""The board is very experienced and they do help them with networking.""
UPMB: ""They handled the key pops issues they had to agree that they will offer services indiscriminately.""",ROM,6,1,1,1_1_6,4,The board performs 3 out of the 3 stated key functions
One, Governance,"Q6. Does the board perform the following key functions:
    1. Compliance, legal and ethical integrity
    2. Financial oversight and accountability
Adequate resources to drive strategy","UPMB: ""Yes - they provide a lot of compliance and financial oversight.""
UPMB: ""The board is very experienced and they do help them with networking.""
UPMB: ""They handled the key pops issues they had to agree that they will offer services indiscriminately.""",UCMB,6,1,1,1_1_6,3,The board performs 2 out of the 3 stated key functions
One, Governance,"Q6. Does the board perform the following key functions:
    1. Compliance, legal and ethical integrity
    2. Financial oversight and accountability
Adequate resources to drive strategy","UPMB: ""Yes - they provide a lot of compliance and financial oversight.""
UPMB: ""The board is very experienced and they do help them with networking.""
UPMB: ""They handled the key pops issues they had to agree that they will offer services indiscriminately.""",UPMB,6,1,1,1_1_6,5,The board performs all 3 stated key functions plus other additional 
One, Governance,"Q6. Does the board perform the following key functions:
    1. Compliance, legal and ethical integrity
    2. Financial oversight and accountability
Adequate resources to drive strategy","UPMB: ""Yes - they provide a lot of compliance and financial oversight.""
UPMB: ""The board is very experienced and they do help them with networking.""
UPMB: ""They handled the key pops issues they had to agree that they will offer services indiscriminately.""",UMMB,6,1,1,1_1_6,4,The board performs 3 out of the 3 stated key functions
One, Governance,"Q6. Does the board perform the following key functions:
    1. Compliance, legal and ethical integrity
    2. Financial oversight and accountability
Adequate resources to drive strategy","UPMB: ""Yes - they provide a lot of compliance and financial oversight.""
UPMB: ""The board is very experienced and they do help them with networking.""
UPMB: ""They handled the key pops issues they had to agree that they will offer services indiscriminately.""",AIC,6,1,1,1_1_6,3,The board performs 2 out of the 3 stated key functions
One, Governance,"Q7. Does the board establish and maintain collaborative, effective relationships with key partners, donors, stakeholders and the public? How?","UPMB: ""Yes - they engage with USAID and go to their trainings for rules and regs.""
UCMB: ""The work is done by UCMB on behalf of the board.""",ROM,7,1,1,1_1_7,1,No 
One, Governance,"Q7. Does the board establish and maintain collaborative, effective relationships with key partners, donors, stakeholders and the public? How?","UPMB: ""Yes - they engage with USAID and go to their trainings for rules and regs.""
UCMB: ""The work is done by UCMB on behalf of the board.""",UCMB,7,1,1,1_1_7,1,No 
One, Governance,"Q7. Does the board establish and maintain collaborative, effective relationships with key partners, donors, stakeholders and the public? How?","UPMB: ""Yes - they engage with USAID and go to their trainings for rules and regs.""
UCMB: ""The work is done by UCMB on behalf of the board.""",UPMB,7,1,1,1_1_7,5,"The board establishes and maintains collaborative, effective relationships with all key partners, donors, stakeholders and the public"
One, Governance,"Q7. Does the board establish and maintain collaborative, effective relationships with key partners, donors, stakeholders and the public? How?","UPMB: ""Yes - they engage with USAID and go to their trainings for rules and regs.""
UCMB: ""The work is done by UCMB on behalf of the board.""",UMMB,7,1,1,1_1_7,5,"The board establishes and maintains collaborative, effective relationships with all key partners, donors, stakeholders and the public"
One, Governance,"Q7. Does the board establish and maintain collaborative, effective relationships with key partners, donors, stakeholders and the public? How?","UPMB: ""Yes - they engage with USAID and go to their trainings for rules and regs.""
UCMB: ""The work is done by UCMB on behalf of the board.""",AIC,7,1,1,1_1_7,3,"The board establishes and maintains collaborative, effective relationships with some key partners, donors, and stakeholders  "
One,Organization Leadership,Q1. Mission and vision,"UPMB: ""Yes - they ask staff to be sure they can articulate their key values and help them practice these values.""
UMMB: ""Their activities are rooted within Islamic belief of service, and staff are aware of vision.""",ROM,1,2,1,1_2_1,5,Organizational decisions are always reflective of the mission and vision of the organization and all staff fully embrace or can clearly describe the mission and vision
One,Organization Leadership,Q1. Mission and vision,"UPMB: ""Yes - they ask staff to be sure they can articulate their key values and help them practice these values.""
UMMB: ""Their activities are rooted within Islamic belief of service, and staff are aware of vision.""",UCMB,1,2,1,1_2_1,5,Organizational decisions are always reflective of the mission and vision of the organization and all staff fully embrace or can clearly describe the mission and vision
One,Organization Leadership,Q1. Mission and vision,"UPMB: ""Yes - they ask staff to be sure they can articulate their key values and help them practice these values.""
UMMB: ""Their activities are rooted within Islamic belief of service, and staff are aware of vision.""",UPMB,1,2,1,1_2_1,5,Organizational decisions are always reflective of the mission and vision of the organization and all staff fully embrace or can clearly describe the mission and vision
One,Organization Leadership,Q1. Mission and vision,"UPMB: ""Yes - they ask staff to be sure they can articulate their key values and help them practice these values.""
UMMB: ""Their activities are rooted within Islamic belief of service, and staff are aware of vision.""",UMMB,1,2,1,1_2_1,4,Organizational decisions are reflective of the mission and vision of the organization
One,Organization Leadership,Q1. Mission and vision,"UPMB: ""Yes - they ask staff to be sure they can articulate their key values and help them practice these values.""
UMMB: ""Their activities are rooted within Islamic belief of service, and staff are aware of vision.""",AIC,1,2,1,1_2_1,4,Organizational decisions are reflective of the mission and vision of the organization
One,Organization Leadership,Q2. Strategic leadership,"ROM: ""The board does annual board evaluations – last year they did not do it as they had an ingoing and outgoing board.""
ROM: ""They also keep a scorecard that they use to track with the boards.""",ROM,2,2,1,1_2_2,4,The board often evaluates its performance and regularly review an annual set of organizational strategic goals and measurable outcomes.
One,Organization Leadership,Q2. Strategic leadership,"ROM: ""The board does annual board evaluations – last year they did not do it as they had an ingoing and outgoing board.""
ROM: ""They also keep a scorecard that they use to track with the boards.""",UCMB,2,2,1,1_2_2,5,The board always evaluates its performance and regularly review an annual set of organizational strategic goals and measurable outcomes.
One,Organization Leadership,Q2. Strategic leadership,"ROM: ""The board does annual board evaluations – last year they did not do it as they had an ingoing and outgoing board.""
ROM: ""They also keep a scorecard that they use to track with the boards.""",UPMB,2,2,1,1_2_2,5,The board always evaluates its performance and regularly review an annual set of organizational strategic goals and measurable outcomes.
One,Organization Leadership,Q2. Strategic leadership,"ROM: ""The board does annual board evaluations – last year they did not do it as they had an ingoing and outgoing board.""
ROM: ""They also keep a scorecard that they use to track with the boards.""",UMMB,2,2,1,1_2_2,1,The board does not evaluate its performance on a regular basis.
One,Organization Leadership,Q2. Strategic leadership,"ROM: ""The board does annual board evaluations – last year they did not do it as they had an ingoing and outgoing board.""
ROM: ""They also keep a scorecard that they use to track with the boards.""",AIC,2,2,1,1_2_2,1,The board does not evaluate its performance on a regular basis.
One,Organization Leadership,Q3. Performance evaluation and use of results,"ROM: ""Through quarterly board meetings, which start with committees and then go into full board meetings.""
UCMB: ""They evaluate themselves at program level routinely.""
ROM: ""The board approves all policies – which are drafted by the management team.""",ROM,3,2,1,1_2_3,5,"The board always updates and adopt a set of policies to govern the organization in the areas of finance, human resources, fund development, and communications and Board members have enough knowledge about our organization and current issues relevant to our organization to make effective policy decisions."
One,Organization Leadership,Q3. Performance evaluation and use of results,"ROM: ""Through quarterly board meetings, which start with committees and then go into full board meetings.""
UCMB: ""They evaluate themselves at program level routinely.""
ROM: ""The board approves all policies – which are drafted by the management team.""",UCMB,3,2,1,1_2_3,5,"The board always updates and adopt a set of policies to govern the organization in the areas of finance, human resources, fund development, and communications and Board members have enough knowledge about our organization and current issues relevant to our organization to make effective policy decisions."
One,Organization Leadership,Q3. Performance evaluation and use of results,"ROM: ""Through quarterly board meetings, which start with committees and then go into full board meetings.""
UCMB: ""They evaluate themselves at program level routinely.""
ROM: ""The board approves all policies – which are drafted by the management team.""",UPMB,3,2,1,1_2_3,5,"The board always updates and adopt a set of policies to govern the organization in the areas of finance, human resources, fund development, and communications and Board members have enough knowledge about our organization and current issues relevant to our organization to make effective policy decisions."
One,Organization Leadership,Q3. Performance evaluation and use of results,"ROM: ""Through quarterly board meetings, which start with committees and then go into full board meetings.""
UCMB: ""They evaluate themselves at program level routinely.""
ROM: ""The board approves all policies – which are drafted by the management team.""",UMMB,3,2,1,1_2_3,1,"The board never updates and adopts a set of policies to govern the organization in the areas of finance, human resources, fund development, and communications."
One,Organization Leadership,Q3. Performance evaluation and use of results,"ROM: ""Through quarterly board meetings, which start with committees and then go into full board meetings.""
UCMB: ""They evaluate themselves at program level routinely.""
ROM: ""The board approves all policies – which are drafted by the management team.""",AIC,3,2,1,1_2_3,1,"The board never updates and adopts a set of policies to govern the organization in the areas of finance, human resources, fund development, and communications."
One,Organization Leadership,Q4. Board composition and qualification,"UCMB: ""They revise their membership after 3 years.""
UMMB: ""They don’t really have community people formally listed as members of the team.""",ROM,4,2,1,1_2_4,5,"The board has the right mix of skills and expertise to govern the organization and routinely consider diverse points of view from internal and external stakeholders and the composition of our board reflects the community we serve and board members are effective at getting others in the community to invest time, money, or other resources in our organization."
One,Organization Leadership,Q4. Board composition and qualification,"UCMB: ""They revise their membership after 3 years.""
UMMB: ""They don’t really have community people formally listed as members of the team.""",UCMB,4,2,1,1_2_4,4,The board has the right mix of skills and expertise to govern the organization and routinely consider diverse points of view from internal and external stakeholders and the composition of our board does reflect the community we serve.
One,Organization Leadership,Q4. Board composition and qualification,"UCMB: ""They revise their membership after 3 years.""
UMMB: ""They don’t really have community people formally listed as members of the team.""",UPMB,4,2,1,1_2_4,5,"The board has the right mix of skills and expertise to govern the organization and routinely consider diverse points of view from internal and external stakeholders and the composition of our board reflects the community we serve and board members are effective at getting others in the community to invest time, money, or other resources in our organization."
One,Organization Leadership,Q4. Board composition and qualification,"UCMB: ""They revise their membership after 3 years.""
UMMB: ""They don’t really have community people formally listed as members of the team.""",UMMB,4,2,1,1_2_4,5,"The board has the right mix of skills and expertise to govern the organization and routinely consider diverse points of view from internal and external stakeholders and the composition of our board reflects the community we serve and board members are effective at getting others in the community to invest time, money, or other resources in our organization."
One,Organization Leadership,Q4. Board composition and qualification,"UCMB: ""They revise their membership after 3 years.""
UMMB: ""They don’t really have community people formally listed as members of the team.""",AIC,4,2,1,1_2_4,3,The board has the right mix of skills and expertise to govern the organization and routinely consider diverse points of view from internal and external stakeholders
One,Organization Leadership,Q5. Strategic planning and monitoring,"UPMB: ""They have a 6-year strategic plan and they share a brief of it that is always shared with trainings and relevant meetings.""
UPMB: ""They also did a mid-term review of the strategic plan and they are doing well.""",ROM,5,2,1,1_2_5,5,"The organization has a written strategic plan that includes a clear, specific, and measurable set of goals and objectives to ensure success formally share progress on the strategic plan_ goals and objectives with board, staff members and stakeholders on a regular basis and Implementation of the action steps in our strategic plan is always ahead of schedule."
One,Organization Leadership,Q5. Strategic planning and monitoring,"UPMB: ""They have a 6-year strategic plan and they share a brief of it that is always shared with trainings and relevant meetings.""
UPMB: ""They also did a mid-term review of the strategic plan and they are doing well.""",UCMB,5,2,1,1_2_5,5,"The organization has a written strategic plan that includes a clear, specific, and measurable set of goals and objectives to ensure success formally share progress on the strategic plan_ goals and objectives with board, staff members and stakeholders on a regular basis and Implementation of the action steps in our strategic plan is always ahead of schedule."
One,Organization Leadership,Q5. Strategic planning and monitoring,"UPMB: ""They have a 6-year strategic plan and they share a brief of it that is always shared with trainings and relevant meetings.""
UPMB: ""They also did a mid-term review of the strategic plan and they are doing well.""",UPMB,5,2,1,1_2_5,5,"The organization has a written strategic plan that includes a clear, specific, and measurable set of goals and objectives to ensure success formally share progress on the strategic plan_ goals and objectives with board, staff members and stakeholders on a regular basis and Implementation of the action steps in our strategic plan is always ahead of schedule."
One,Organization Leadership,Q5. Strategic planning and monitoring,"UPMB: ""They have a 6-year strategic plan and they share a brief of it that is always shared with trainings and relevant meetings.""
UPMB: ""They also did a mid-term review of the strategic plan and they are doing well.""",UMMB,5,2,1,1_2_5,2,"The organization has a written strategic plan that includes a clear, specific, and measurable set of goals and objectives to ensure success."
One,Organization Leadership,Q5. Strategic planning and monitoring,"UPMB: ""They have a 6-year strategic plan and they share a brief of it that is always shared with trainings and relevant meetings.""
UPMB: ""They also did a mid-term review of the strategic plan and they are doing well.""",AIC,5,2,1,1_2_5,5,"The organization has a written strategic plan that includes a clear, specific, and measurable set of goals and objectives to ensure success formally share progress on the strategic plan_ goals and objectives with board, staff members and stakeholders on a regular basis and Implementation of the action steps in our strategic plan is always ahead of schedule."
One,Organization Leadership,Q6. Strategic planning and capacity to organizational priorities,"AIC: ""They focus on their responsibility to provide services to all – they provide a rights-based approach.""
AIC: ""They met most of the goals that were in the previous strategic plan – COVID was a contributor to some of the delays.""",ROM,6,2,1,1_2_6,5,"The  organization has set priorities, there is clarity on how to make decisions when priorities come into conflict with each other, the organization has a history of meet key program or organizational goals and benchmarks and our capacity is sufficient to achieve all the goals."
One,Organization Leadership,Q6. Strategic planning and capacity to organizational priorities,"AIC: ""They focus on their responsibility to provide services to all – they provide a rights-based approach.""
AIC: ""They met most of the goals that were in the previous strategic plan – COVID was a contributor to some of the delays.""",UCMB,6,2,1,1_2_6,5,"The  organization has set priorities, there is clarity on how to make decisions when priorities come into conflict with each other, the organization has a history of meet key program or organizational goals and benchmarks and our capacity is sufficient to achieve all the goals."
One,Organization Leadership,Q6. Strategic planning and capacity to organizational priorities,"AIC: ""They focus on their responsibility to provide services to all – they provide a rights-based approach.""
AIC: ""They met most of the goals that were in the previous strategic plan – COVID was a contributor to some of the delays.""",UPMB,6,2,1,1_2_6,5,"The  organization has set priorities, there is clarity on how to make decisions when priorities come into conflict with each other, the organization has a history of meet key program or organizational goals and benchmarks and our capacity is sufficient to achieve all the goals."
One,Organization Leadership,Q6. Strategic planning and capacity to organizational priorities,"AIC: ""They focus on their responsibility to provide services to all – they provide a rights-based approach.""
AIC: ""They met most of the goals that were in the previous strategic plan – COVID was a contributor to some of the delays.""",UMMB,6,2,1,1_2_6,3,"There is clarity on how to make decisions when priorities come into conflict with each other, the organization has a history of meet program or organizational goals and benchmarks."
One,Organization Leadership,Q6. Strategic planning and capacity to organizational priorities,"AIC: ""They focus on their responsibility to provide services to all – they provide a rights-based approach.""
AIC: ""They met most of the goals that were in the previous strategic plan – COVID was a contributor to some of the delays.""",AIC,6,2,1,1_2_6,5,"The  organization has set priorities, there is clarity on how to make decisions when priorities come into conflict with each other, the organization has a history of meet key program or organizational goals and benchmarks and our capacity is sufficient to achieve all the goals."
One,Organization Leadership,"Q7. Engagement, feedback to management, Norms and values","UPMB: ""They have reviewed their feedback process (they had an anonymous staff satisfaction feedback survey).""
UPMB: ""They also have an open-door policy and a culture of openness.""
UPMB: ""They have platforms such as the 1:1 with your supervisor, SMT meetings, general meetings.""",ROM,7,2,1,1_2_7,5,"Our organization does provide regular opportunities for staff to express constructive feedback or concerns to leadership and Our organization invests some time or resources in reflection or learning, and Our organization does have a common set of basic beliefs and values that are written, shared broadly, and held by all or the majority of staff and Many staff members are culturally sensitive with respect to internal management or delivery of services."
One,Organization Leadership,"Q7. Engagement, feedback to management, Norms and values","UPMB: ""They have reviewed their feedback process (they had an anonymous staff satisfaction feedback survey).""
UPMB: ""They also have an open-door policy and a culture of openness.""
UPMB: ""They have platforms such as the 1:1 with your supervisor, SMT meetings, general meetings.""",UCMB,7,2,1,1_2_7,4,Our organization does provide regular opportunities for staff to express constructive feedback or concerns to leadership and Our organization invests adequate time or resources in reflection or learning but not all staff are culturally sensitive with respect to internal management or delivery of services 
One,Organization Leadership,"Q7. Engagement, feedback to management, Norms and values","UPMB: ""They have reviewed their feedback process (they had an anonymous staff satisfaction feedback survey).""
UPMB: ""They also have an open-door policy and a culture of openness.""
UPMB: ""They have platforms such as the 1:1 with your supervisor, SMT meetings, general meetings.""",UPMB,7,2,1,1_2_7,5,"Our organization does provide regular opportunities for staff to express constructive feedback or concerns to leadership and Our organization invests some time or resources in reflection or learning, and Our organization does have a common set of basic beliefs and values that are written, shared broadly, and held by all or the majority of staff and Many staff members are culturally sensitive with respect to internal management or delivery of services."
One,Organization Leadership,"Q7. Engagement, feedback to management, Norms and values","UPMB: ""They have reviewed their feedback process (they had an anonymous staff satisfaction feedback survey).""
UPMB: ""They also have an open-door policy and a culture of openness.""
UPMB: ""They have platforms such as the 1:1 with your supervisor, SMT meetings, general meetings.""",UMMB,7,2,1,1_2_7,3,Our organization does provide regular opportunities for staff to express constructive feedback or concerns to leadership and Our organization invests some time or resources in reflection or learning.
